cell_idx,format,algo,canon_name,run_id
1,gf16,adamw,IGLA-SHORT-WAVE-MATRIX-gf16-h128-LR0.0001-rng1597-adamw,wave-a-cell-001
2,gf16,muon,IGLA-SHORT-WAVE-MATRIX-gf16-h128-LR0.0001-rng1597-muon,wave-a-cell-002
3,gf16,sgdm,IGLA-SHORT-WAVE-MATRIX-gf16-h128-LR0.0001-rng1597-sgdm,wave-a-cell-003
4,gf16,lion,IGLA-SHORT-WAVE-MATRIX-gf16-h128-LR0.0001-rng1597-lion,wave-a-cell-004
5,gf16,lamb,IGLA-SHORT-WAVE-MATRIX-gf16-h128-LR0.0001-rng1597-lamb,wave-a-cell-005
6,gf16,soap,IGLA-SHORT-WAVE-MATRIX-gf16-h128-LR0.0001-rng1597-soap,wave-a-cell-006
7,gf16,shampoo,IGLA-SHORT-WAVE-MATRIX-gf16-h128-LR0.0001-rng1597-shampoo,wave-a-cell-007
8,gf16,prodigy,IGLA-SHORT-WAVE-MATRIX-gf16-h128-LR0.0001-rng1597-prodigy,wave-a-cell-008
9,bf16,adamw,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-adamw,wave-a-cell-009
10,bf16,muon,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-muon,wave-a-cell-010
11,bf16,sgdm,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-sgdm,wave-a-cell-011
12,bf16,lion,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-lion,wave-a-cell-012
13,bf16,lamb,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-lamb,wave-a-cell-013
14,bf16,soap,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-soap,wave-a-cell-014
15,bf16,shampoo,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-shampoo,wave-a-cell-015
16,bf16,prodigy,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-prodigy,wave-a-cell-016
17,fp16,adamw,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-adamw,wave-a-cell-017
18,fp16,muon,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-muon,wave-a-cell-018
19,fp16,sgdm,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-sgdm,wave-a-cell-019
20,fp16,lion,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-lion,wave-a-cell-020
21,fp16,lamb,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-lamb,wave-a-cell-021
22,fp16,soap,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-soap,wave-a-cell-022
23,fp16,shampoo,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-shampoo,wave-a-cell-023
24,fp16,prodigy,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-prodigy,wave-a-cell-024
25,fp32,adamw,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-adamw,wave-a-cell-025
26,fp32,muon,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-muon,wave-a-cell-026
27,fp32,sgdm,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-sgdm,wave-a-cell-027
28,fp32,lion,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-lion,wave-a-cell-028
29,fp32,lamb,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-lamb,wave-a-cell-029
30,fp32,soap,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-soap,wave-a-cell-030
31,fp32,shampoo,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-shampoo,wave-a-cell-031
32,fp32,prodigy,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-prodigy,wave-a-cell-032
33,fp64,adamw,IGLA-SHORT-WAVE-MATRIX-fp64-h128-LR0.0001-rng1597-adamw,wave-a-cell-033
34,fp64,muon,IGLA-SHORT-WAVE-MATRIX-fp64-h128-LR0.0001-rng1597-muon,wave-a-cell-034
35,fp64,sgdm,IGLA-SHORT-WAVE-MATRIX-fp64-h128-LR0.0001-rng1597-sgdm,wave-a-cell-035
36,fp64,lion,IGLA-SHORT-WAVE-MATRIX-fp64-h128-LR0.0001-rng1597-lion,wave-a-cell-036
37,fp64,lamb,IGLA-SHORT-WAVE-MATRIX-fp64-h128-LR0.0001-rng1597-lamb,wave-a-cell-037
38,fp64,soap,IGLA-SHORT-WAVE-MATRIX-fp64-h128-LR0.0001-rng1597-soap,wave-a-cell-038
39,fp64,shampoo,IGLA-SHORT-WAVE-MATRIX-fp64-h128-LR0.0001-rng1597-shampoo,wave-a-cell-039
40,fp64,prodigy,IGLA-SHORT-WAVE-MATRIX-fp64-h128-LR0.0001-rng1597-prodigy,wave-a-cell-040
41,fp80,adamw,IGLA-SHORT-WAVE-MATRIX-fp80-h128-LR0.0001-rng1597-adamw,wave-a-cell-041
42,fp80,muon,IGLA-SHORT-WAVE-MATRIX-fp80-h128-LR0.0001-rng1597-muon,wave-a-cell-042
43,fp80,sgdm,IGLA-SHORT-WAVE-MATRIX-fp80-h128-LR0.0001-rng1597-sgdm,wave-a-cell-043
44,fp80,lion,IGLA-SHORT-WAVE-MATRIX-fp80-h128-LR0.0001-rng1597-lion,wave-a-cell-044
45,fp80,lamb,IGLA-SHORT-WAVE-MATRIX-fp80-h128-LR0.0001-rng1597-lamb,wave-a-cell-045
46,fp80,soap,IGLA-SHORT-WAVE-MATRIX-fp80-h128-LR0.0001-rng1597-soap,wave-a-cell-046
47,fp80,shampoo,IGLA-SHORT-WAVE-MATRIX-fp80-h128-LR0.0001-rng1597-shampoo,wave-a-cell-047
48,fp80,prodigy,IGLA-SHORT-WAVE-MATRIX-fp80-h128-LR0.0001-rng1597-prodigy,wave-a-cell-048
49,binary128,adamw,IGLA-SHORT-WAVE-MATRIX-binary128-h128-LR0.0001-rng1597-adamw,wave-a-cell-049
50,binary128,muon,IGLA-SHORT-WAVE-MATRIX-binary128-h128-LR0.0001-rng1597-muon,wave-a-cell-050
51,binary128,sgdm,IGLA-SHORT-WAVE-MATRIX-binary128-h128-LR0.0001-rng1597-sgdm,wave-a-cell-051
52,binary128,lion,IGLA-SHORT-WAVE-MATRIX-binary128-h128-LR0.0001-rng1597-lion,wave-a-cell-052
53,binary128,lamb,IGLA-SHORT-WAVE-MATRIX-binary128-h128-LR0.0001-rng1597-lamb,wave-a-cell-053
54,binary128,soap,IGLA-SHORT-WAVE-MATRIX-binary128-h128-LR0.0001-rng1597-soap,wave-a-cell-054
55,binary128,shampoo,IGLA-SHORT-WAVE-MATRIX-binary128-h128-LR0.0001-rng1597-shampoo,wave-a-cell-055
56,binary128,prodigy,IGLA-SHORT-WAVE-MATRIX-binary128-h128-LR0.0001-rng1597-prodigy,wave-a-cell-056
57,binary256,adamw,IGLA-SHORT-WAVE-MATRIX-binary256-h128-LR0.0001-rng1597-adamw,wave-a-cell-057
58,binary256,muon,IGLA-SHORT-WAVE-MATRIX-binary256-h128-LR0.0001-rng1597-muon,wave-a-cell-058
59,binary256,sgdm,IGLA-SHORT-WAVE-MATRIX-binary256-h128-LR0.0001-rng1597-sgdm,wave-a-cell-059
60,binary256,lion,IGLA-SHORT-WAVE-MATRIX-binary256-h128-LR0.0001-rng1597-lion,wave-a-cell-060
61,binary256,lamb,IGLA-SHORT-WAVE-MATRIX-binary256-h128-LR0.0001-rng1597-lamb,wave-a-cell-061
62,binary256,soap,IGLA-SHORT-WAVE-MATRIX-binary256-h128-LR0.0001-rng1597-soap,wave-a-cell-062
63,binary256,shampoo,IGLA-SHORT-WAVE-MATRIX-binary256-h128-LR0.0001-rng1597-shampoo,wave-a-cell-063
64,binary256,prodigy,IGLA-SHORT-WAVE-MATRIX-binary256-h128-LR0.0001-rng1597-prodigy,wave-a-cell-064
65,fp8_e4m3,adamw,IGLA-SHORT-WAVE-MATRIX-fp8_e4m3-h128-LR0.0001-rng1597-adamw,wave-a-cell-065
66,fp8_e4m3,muon,IGLA-SHORT-WAVE-MATRIX-fp8_e4m3-h128-LR0.0001-rng1597-muon,wave-a-cell-066
67,fp8_e4m3,sgdm,IGLA-SHORT-WAVE-MATRIX-fp8_e4m3-h128-LR0.0001-rng1597-sgdm,wave-a-cell-067
68,fp8_e4m3,lion,IGLA-SHORT-WAVE-MATRIX-fp8_e4m3-h128-LR0.0001-rng1597-lion,wave-a-cell-068
69,fp8_e4m3,lamb,IGLA-SHORT-WAVE-MATRIX-fp8_e4m3-h128-LR0.0001-rng1597-lamb,wave-a-cell-069
70,fp8_e4m3,soap,IGLA-SHORT-WAVE-MATRIX-fp8_e4m3-h128-LR0.0001-rng1597-soap,wave-a-cell-070
71,fp8_e4m3,shampoo,IGLA-SHORT-WAVE-MATRIX-fp8_e4m3-h128-LR0.0001-rng1597-shampoo,wave-a-cell-071
72,fp8_e4m3,prodigy,IGLA-SHORT-WAVE-MATRIX-fp8_e4m3-h128-LR0.0001-rng1597-prodigy,wave-a-cell-072
73,fp8_e5m2,adamw,IGLA-SHORT-WAVE-MATRIX-fp8_e5m2-h128-LR0.0001-rng1597-adamw,wave-a-cell-073
74,fp8_e5m2,muon,IGLA-SHORT-WAVE-MATRIX-fp8_e5m2-h128-LR0.0001-rng1597-muon,wave-a-cell-074
75,fp8_e5m2,sgdm,IGLA-SHORT-WAVE-MATRIX-fp8_e5m2-h128-LR0.0001-rng1597-sgdm,wave-a-cell-075
76,fp8_e5m2,lion,IGLA-SHORT-WAVE-MATRIX-fp8_e5m2-h128-LR0.0001-rng1597-lion,wave-a-cell-076
77,fp8_e5m2,lamb,IGLA-SHORT-WAVE-MATRIX-fp8_e5m2-h128-LR0.0001-rng1597-lamb,wave-a-cell-077
78,fp8_e5m2,soap,IGLA-SHORT-WAVE-MATRIX-fp8_e5m2-h128-LR0.0001-rng1597-soap,wave-a-cell-078
79,fp8_e5m2,shampoo,IGLA-SHORT-WAVE-MATRIX-fp8_e5m2-h128-LR0.0001-rng1597-shampoo,wave-a-cell-079
80,fp8_e5m2,prodigy,IGLA-SHORT-WAVE-MATRIX-fp8_e5m2-h128-LR0.0001-rng1597-prodigy,wave-a-cell-080
81,fp6_e3m2,adamw,IGLA-SHORT-WAVE-MATRIX-fp6_e3m2-h128-LR0.0001-rng1597-adamw,wave-a-cell-081
82,fp6_e3m2,muon,IGLA-SHORT-WAVE-MATRIX-fp6_e3m2-h128-LR0.0001-rng1597-muon,wave-a-cell-082
83,fp6_e3m2,sgdm,IGLA-SHORT-WAVE-MATRIX-fp6_e3m2-h128-LR0.0001-rng1597-sgdm,wave-a-cell-083
84,fp6_e3m2,lion,IGLA-SHORT-WAVE-MATRIX-fp6_e3m2-h128-LR0.0001-rng1597-lion,wave-a-cell-084
85,fp6_e3m2,lamb,IGLA-SHORT-WAVE-MATRIX-fp6_e3m2-h128-LR0.0001-rng1597-lamb,wave-a-cell-085
86,fp6_e3m2,soap,IGLA-SHORT-WAVE-MATRIX-fp6_e3m2-h128-LR0.0001-rng1597-soap,wave-a-cell-086
87,fp6_e3m2,shampoo,IGLA-SHORT-WAVE-MATRIX-fp6_e3m2-h128-LR0.0001-rng1597-shampoo,wave-a-cell-087
88,fp6_e3m2,prodigy,IGLA-SHORT-WAVE-MATRIX-fp6_e3m2-h128-LR0.0001-rng1597-prodigy,wave-a-cell-088
89,fp6_e2m3,adamw,IGLA-SHORT-WAVE-MATRIX-fp6_e2m3-h128-LR0.0001-rng1597-adamw,wave-a-cell-089
90,fp6_e2m3,muon,IGLA-SHORT-WAVE-MATRIX-fp6_e2m3-h128-LR0.0001-rng1597-muon,wave-a-cell-090
91,fp6_e2m3,sgdm,IGLA-SHORT-WAVE-MATRIX-fp6_e2m3-h128-LR0.0001-rng1597-sgdm,wave-a-cell-091
