cell_idx,format,algo,canon_name,run_id
1,fp32,adamw,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-adamw,wave-a-2026-05-12-fp32-adamw-rng1597
2,fp32,muon,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-muon,wave-a-2026-05-12-fp32-muon-rng1597
3,fp32,lion,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-lion,wave-a-2026-05-12-fp32-lion-rng1597
4,fp32,lamb,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-lamb,wave-a-2026-05-12-fp32-lamb-rng1597
5,fp32,soap,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-soap,wave-a-2026-05-12-fp32-soap-rng1597
6,fp32,shampoo,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-shampoo,wave-a-2026-05-12-fp32-shampoo-rng1597
7,fp32,prodigy,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-prodigy,wave-a-2026-05-12-fp32-prodigy-rng1597
8,fp32,sgdm,IGLA-SHORT-WAVE-MATRIX-fp32-h128-LR0.0001-rng1597-sgdm,wave-a-2026-05-12-fp32-sgdm-rng1597
9,bf16,adamw,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-adamw,wave-a-2026-05-12-bf16-adamw-rng1597
10,bf16,muon,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-muon,wave-a-2026-05-12-bf16-muon-rng1597
11,bf16,lion,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-lion,wave-a-2026-05-12-bf16-lion-rng1597
12,bf16,lamb,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-lamb,wave-a-2026-05-12-bf16-lamb-rng1597
13,bf16,soap,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-soap,wave-a-2026-05-12-bf16-soap-rng1597
14,bf16,shampoo,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-shampoo,wave-a-2026-05-12-bf16-shampoo-rng1597
15,bf16,prodigy,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-prodigy,wave-a-2026-05-12-bf16-prodigy-rng1597
16,bf16,sgdm,IGLA-SHORT-WAVE-MATRIX-bf16-h128-LR0.0001-rng1597-sgdm,wave-a-2026-05-12-bf16-sgdm-rng1597
17,fp16,adamw,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-adamw,wave-a-2026-05-12-fp16-adamw-rng1597
18,fp16,muon,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-muon,wave-a-2026-05-12-fp16-muon-rng1597
19,fp16,lion,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-lion,wave-a-2026-05-12-fp16-lion-rng1597
20,fp16,lamb,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-lamb,wave-a-2026-05-12-fp16-lamb-rng1597
21,fp16,soap,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-soap,wave-a-2026-05-12-fp16-soap-rng1597
22,fp16,shampoo,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-shampoo,wave-a-2026-05-12-fp16-shampoo-rng1597
23,fp16,prodigy,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-prodigy,wave-a-2026-05-12-fp16-prodigy-rng1597
24,fp16,sgdm,IGLA-SHORT-WAVE-MATRIX-fp16-h128-LR0.0001-rng1597-sgdm,wave-a-2026-05-12-fp16-sgdm-rng1597
25,fp8e4m3,adamw,IGLA-SHORT-WAVE-MATRIX-fp8e4m3-h128-LR0.0001-rng1597-adamw,wave-a-2026-05-12-fp8e4m3-adamw-rng1597
26,fp8e4m3,muon,IGLA-SHORT-WAVE-MATRIX-fp8e4m3-h128-LR0.0001-rng1597-muon,wave-a-2026-05-12-fp8e4m3-muon-rng1597
27,fp8e4m3,lion,IGLA-SHORT-WAVE-MATRIX-fp8e4m3-h128-LR0.0001-rng1597-lion,wave-a-2026-05-12-fp8e4m3-lion-rng1597
28,fp8e4m3,lamb,IGLA-SHORT-WAVE-MATRIX-fp8e4m3-h128-LR0.0001-rng1597-lamb,wave-a-2026-05-12-fp8e4m3-lamb-rng1597
29,fp8e4m3,soap,IGLA-SHORT-WAVE-MATRIX-fp8e4m3-h128-LR0.0001-rng1597-soap,wave-a-2026-05-12-fp8e4m3-soap-rng1597
