FineWeb bin: path=data/datasets/fineweb10B_sp1024/fineweb_train_000000.bin magic=20240520 version=1 num_tokens=100000000
FineWeb bin: path=data/datasets/fineweb10B_sp1024/fineweb_val_000000.bin magic=20240520 version=1 num_tokens=62021846
=== trios CPU Training (Analytical Backprop) ===
vocab=1024 dim=128 seq=64 steps=50000 seed=44 lr=0.003
Dataset: 100000000 train / 62021846 val tokens
Initial val BPB: 9.9930

  step | train_loss |    val_bpb |   best_bpb |       ms
------------------------------------------------------------
   500 |     5.0260 |     7.4979 |     7.4979 |  54525ms
  1000 |     4.8699 |     7.2350 |     7.2350 | 121413ms
  1500 |     4.8043 |     6.9793 |     6.9793 | 184628ms
  2000 |     4.6219 |     6.8136 |     6.8136 | 245869ms
  2500 |     4.7675 |     6.6716 |     6.6716 | 332751ms
  3000 |     5.0233 |     6.5987 |     6.5987 | 438925ms
  3500 |     4.4278 |     6.5055 |     6.5055 | 526517ms
  4000 |     4.1568 |     6.4631 |     6.4631 | 652687ms
  4500 |     4.4565 |     6.4172 |     6.4172 | 789867ms
  5000 |     4.4308 |     6.3708 |     6.3708 | 1036427ms
  5500 |     5.2517 |     6.4050 |     6.3708 | 1219182ms
  6000 |     4.6748 |     6.3578 |     6.3578 | 1313731ms
  6500 |     4.5708 |     6.3363 |     6.3363 | 1406198ms
  7000 |     3.8592 |     6.3071 |     6.3071 | 1498966ms
  7500 |     3.8968 |     6.3151 |     6.3071 | 1574925ms
  8000 |     5.1625 |     6.3135 |     6.3071 | 1639588ms
  8500 |     4.6554 |     6.3003 |     6.3003 | 1704572ms
  9000 |     4.0818 |     6.2644 |     6.2644 | 1768450ms
  9500 |     4.4733 |     6.2725 |     6.2644 | 1834884ms
 10000 |     3.8552 |     6.3117 |     6.2644 | 1900210ms
 10500 |     4.6129 |     6.2405 |     6.2405 | 1969674ms
 11000 |     4.3446 |     6.2558 |     6.2405 | 2043822ms
 11500 |     3.6422 |     6.2678 |     6.2405 | 2121791ms
 12000 |     4.1252 |     6.2690 |     6.2405 | 2199067ms
 12500 |     4.3650 |     6.2598 |     6.2405 | 2291221ms
 13000 |     4.8494 |     6.2464 |     6.2405 | 2375631ms
 13500 |     3.7502 |     6.2392 |     6.2392 | 2467374ms
 14000 |     4.4522 |     6.1779 |     6.1779 | 2566551ms
 14500 |     4.9777 |     6.2322 |     6.1779 | 2650986ms
 15000 |     4.4453 |     6.2534 |     6.1779 | 2735198ms
 15500 |     3.9693 |     6.2214 |     6.1779 | 2827294ms
 16000 |     4.2307 |     6.2246 |     6.1779 | 2917137ms
 16500 |     4.4181 |     6.1941 |     6.1779 | 3003840ms
 17000 |     5.3544 |     6.2238 |     6.1779 | 3095394ms
 17500 |     3.8461 |     6.1838 |     6.1779 | 3176953ms
 18000 |     4.3781 |     6.2463 |     6.1779 | 3258141ms
 18500 |     4.6377 |     6.1986 |     6.1779 | 3335795ms
 19000 |     4.3842 |     6.1978 |     6.1779 | 3415889ms
 19500 |     4.0708 |     6.2247 |     6.1779 | 3498787ms
 20000 |     4.8011 |     6.2106 |     6.1779 | 3581586ms
 20500 |     4.0007 |     6.1805 |     6.1779 | 3666492ms
 21000 |     4.1377 |     6.1665 |     6.1665 | 3755684ms
 21500 |     3.9564 |     6.1800 |     6.1665 | 3842615ms
 22000 |     4.5500 |     6.1429 |     6.1429 | 3927834ms
 22500 |     4.1510 |     6.1668 |     6.1429 | 4007550ms
 23000 |     4.5561 |     6.1820 |     6.1429 | 4086924ms
 23500 |     4.1842 |     6.1914 |     6.1429 | 4165525ms
 24000 |     3.9071 |     6.1830 |     6.1429 | 4235193ms
 24500 |     4.7135 |     6.2040 |     6.1429 | 4306233ms
 25000 |     3.9412 |     6.2529 |     6.1429 | 4376906ms
 25500 |     4.6929 |     6.1730 |     6.1429 | 4445753ms
 26000 |     4.0209 |     6.1930 |     6.1429 | 4517769ms
